Text,StrTime,User,MessageType,Sentiment,Confidence,Positive_Prob,Negative_Prob
旗鼓相当的对手,2021-10-16 05:07:36,R,text,0,0.398689,0.27059,0.72941
妈的,2021-10-16 05:34:14,Matteo,text,0,0.992557,0.00334941,0.996651
笑死了,2021-10-16 05:34:18,Matteo,text,0,0.993812,0.00278472,0.997215
牛马点缀生活！,2021-10-16 05:34:45,Matteo,text,2,0.996686,0.998509,0.00149119
哈哈哈哈哈哈哈哈哈,2021-10-16 05:36:16,R,text,2,0.911407,0.960133,0.039867
越看越想笑,2021-10-16 05:54:43,Matteo,text,1,0.275584,0.536221,0.463779
来填个问卷,2021-10-22 03:27:42,Matteo,text,0,0.890482,0.049283,0.950717
工具人罢了,2021-10-22 03:29:16,R,text,0,0.993712,0.00282966,0.99717
其实大概率问卷我还得自己捏造,2021-10-22 03:29:52,Matteo,text,0,0.869332,0.0588009,0.941199
但是可以先看看你们的答案,2021-10-22 03:30:09,Matteo,text,2,0.235596,0.656018,0.343982
到时候不会编的太离谱,2021-10-22 03:30:22,Matteo,text,0,0.998815,0.000533014,0.999467
[Emm],2021-10-22 03:30:38,Matteo,text,2,0.916123,0.962255,0.0377445
马上年龄就要22乐[苦涩],2021-10-22 03:37:15,R,text,2,0.414475,0.736514,0.263486
好耶,2021-10-22 03:37:22,Matteo,text,2,0.998389,0.999275,0.000725001
我还有三天21,2021-10-22 03:37:38,Matteo,text,2,0.94645,0.975902,0.0240977
[呲牙]变老快乐,2021-10-22 04:15:54,R,text,2,0.970122,0.986555,0.0134452
看了西藏大学节事活动方面的某篇硕士毕业论文,2021-10-27 18:18:36,Matteo,text,2,0.849555,0.9323,0.0677
让我感觉西藏真好,2021-10-27 18:18:44,Matteo,text,2,0.999646,0.999841,0.000159128
太好混了吧55,2021-10-27 18:18:53,Matteo,text,0,0.992604,0.0033282,0.996672
去 高考还加好多分,2021-10-27 22:04:29,R,text,2,0.911351,0.960108,0.0398923
算了,2021-10-28 04:10:56,Matteo,text,0,0.977031,0.0103359,0.989664
我也只能口嗨,2021-10-28 04:11:02,Matteo,text,0,0.981407,0.00836698,0.991633
我也就随便说说，好像那里的户口很难很难，很难搞。,2021-10-28 04:16:18,R,text,0,0.997542,0.0011059,0.998894
我的西藏同学,2021-10-28 04:19:28,Matteo,text,2,0.984316,0.992942,0.00705784
在福建上过学,2021-10-28 04:19:51,Matteo,text,2,0.956386,0.980374,0.0196264
在广东上过学,2021-10-28 04:20:00,Matteo,text,2,0.917098,0.962694,0.0373058
就是没在西藏上,2021-10-28 04:20:13,Matteo,text,2,0.691832,0.861325,0.138675
麻了,2021-10-28 16:42:32,Matteo,text,0,0.287256,0.320735,0.679265
真要看文献还是得看核心期刊上面的,2021-10-28 16:42:49,Matteo,text,0,0.860132,0.0629408,0.937059
硕士论文是真tm又臭又长,2021-10-28 16:43:06,Matteo,text,0,0.998906,0.00049225,0.999508
虽然很详细,2021-10-28 16:43:31,Matteo,text,2,0.981403,0.991632,0.00836847
但是看得我真的好想yue,2021-10-28 16:43:44,Matteo,text,2,0.945028,0.975263,0.0247372
我一般是自己要做某论文想看细节再烦硕士论文,2021-10-28 21:06:44,R,text,0,0.974931,0.0112811,0.988719
我想着一劳永逸,2021-10-28 21:07:15,Matteo,text,2,0.983648,0.992642,0.00735847
