localId,TalkerId,Type,SubType,IsSender,CreateTime,Status,StrContent,StrTime,Remark,NickName,Sender
1275600,6,47,0,0,1633545659,,"<msg><emoji fromusername = ""wxid_bw1xnecir2p22"" tousername = ""a33386437"" type=""2"" idbuffer=""media:0_0"" md5=""c9191a26d01f15b59428348135a39db8"" len = ""1007187"" productid="""" androidmd5=""c9191a26d01f15b59428348135a39db8"" androidlen=""1007187"" s60v3md5 = ""c9191a26d01f15b59428348135a39db8"" s60v3len=""1007187"" s60v5md5 = ""c9191a26d01f15b59428348135a39db8"" s60v5len=""1007187"" cdnurl = ""http://wxapp.tc.qq.com/262/20304/stodownload?m=c9191a26d01f15b59428348135a39db8&amp;filekey=30350201010421301f020201060402535a0410c9191a26d01f15b59428348135a39db802030f5e53040d00000004627466730000000131&amp;hy=SZ&amp;storeid=32303231303632373134303432323030303865346663393438343363343964313635353030393030303030313036&amp;bizid=1023"" designerid = """" thumburl = """" encrypturl = ""http://wxapp.tc.qq.com/262/20304/stodownload?m=58b119448d86832f0fa7f2479bda044d&amp;filekey=30350201010421301f020201060402535a041058b119448d86832f0fa7f2479bda044d02030f5e60040d00000004627466730000000131&amp;hy=SZ&amp;storeid=32303231303632373134303432323030306563663838393438343363343939663537353830393030303030313036&amp;bizid=1023"" aeskey= ""d124b97edb3645ff88327f9a14a711d9"" externurl = ""http://wxapp.tc.qq.com/262/20304/stodownload?m=97fe7afada6ccab1771b741a119bf9e2&amp;filekey=30340201010420301e020201060402535a041097fe7afada6ccab1771b741a119bf9e202025de0040d00000004627466730000000131&amp;hy=SZ&amp;storeid=32303231303632373134303432333030303161333336393438343363343962633338356630393030303030313036&amp;bizid=1023"" externmd5 = ""e4fec16f09d2965b4670bd12167a6f85"" width= ""316"" height= ""314"" tpurl= """" tpauthkey= """" attachedtext= """" attachedtextcolor= """" lensid= """" emojiattr= """" linkid= """" ></emoji> </msg>",2021-10-06 14:40:59,Matteo,Matteo,wxid_bw1xnecir2p22
1275601,6,1,0,1,1633571622,,10号下午晚上可以不,2021-10-06 21:53:42,R,R,a33386437
1275602,6,1,0,1,1633571635,,我上午考试考到14:00,2021-10-06 21:53:55,R,R,a33386437
1275603,6,1,0,1,1633571645,,然后吃个饭,2021-10-06 21:54:05,R,R,a33386437
1275604,6,47,0,1,1633571669,,"<msg><emoji md5=""448217fc14b65557fe826a78bb38172d"" type=""2"" len = ""35088"" width=""240"" height=""240""></emoji><gameext type=""0"" content=""0"" ></gameext></msg>",2021-10-06 21:54:29,R,R,a33386437
1275605,6,1,0,0,1633605790,,行,2021-10-07 07:23:10,Matteo,Matteo,wxid_bw1xnecir2p22
1275606,6,1,0,1,1633607917,,访谈啥呀,2021-10-07 07:58:37,R,R,a33386437
1275607,6,49,6,0,1633607963,,,2021-10-07 07:59:23,Matteo,Matteo,wxid_bw1xnecir2p22
1275608,6,1,0,0,1633607971,,呐,2021-10-07 07:59:31,Matteo,Matteo,wxid_bw1xnecir2p22
1275609,6,1,0,1,1633608075,,我要假装我55岁以上吗哈哈哈哈哈,2021-10-07 08:01:15,R,R,a33386437
1275610,6,1,0,0,1633608084,,是的,2021-10-07 08:01:24,Matteo,Matteo,wxid_bw1xnecir2p22
1275611,6,1,0,1,1633608092,,okok,2021-10-07 08:01:32,R,R,a33386437
1275612,6,1,0,1,1633608094,,笑死,2021-10-07 08:01:34,R,R,a33386437
1275613,6,1,0,0,1633608114,,[旺柴],2021-10-07 08:01:54,Matteo,Matteo,wxid_bw1xnecir2p22
1275614,6,1,0,1,1633608326,,为了考gre 我特么这次跑到了内蒙古,2021-10-07 08:05:26,R,R,a33386437
1275615,6,47,0,1,1633608346,,"<msg><emoji md5=""b780a478cdc0509099cd86388394d560"" type=""2"" len = ""759"" width=""51"" height=""42""></emoji><gameext type=""0"" content=""0"" ></gameext></msg>",2021-10-07 08:05:46,R,R,a33386437
1275616,6,1,0,0,1633608428,,6,2021-10-07 08:07:08,Matteo,Matteo,wxid_bw1xnecir2p22
1275617,6,1,0,0,1633608445,,冷不,2021-10-07 08:07:25,Matteo,Matteo,wxid_bw1xnecir2p22
